Compound;Band_gap
SiCN;6,52
Li2HfN2;4,65
Sr3SbN;2,73
LiZnN;2,84
Sr3BiN;5,77
Sr2ZnN2;2,44
SrHfN2;4,73
Ca3SbN;2,46
Sr2BrN;6,65
Mg2ClN;4,46
Sr2IN;5,51
CaMg2N2;4,23
Ca2ClN;4,27
Ca2BrN;4,26
Li9S3N;4,36
Li2ZrN2;4,2
Ca3PN;3,35
CuNbN2;2,12
LiSrN;2,93
Mg3SbN;2,04
Mg3AsN;3,56
NaNbN2;2,77
Ca3BiN;2,2
Mg3Al2N4;3,71
SrMg2N2;4,28
Mg3F3N;6,62
Ca2ZnN2;2,45
Sr2ClN;5,83
SrTiN2;2,63
Zr2SN2;3,21
Zr2SeN2;3,21
SrZrN2;3,7
Zr2SN2;3,23
Ca3AsN;3,22
Hf2SN2;3,75
BaZrN2;2,52
MgMoN2;2,89
BaHfN2;2,95
