Compound;Band_gap
PbTiO3;2,75
AgTaO3;3,4
KTaO3;3,6
KNbO3;3,14
NaNbO3;3,08
AgNbO3;2,7
AgVO3;2,4
LiBiO3;1,63
NaBiO3;2,53
KBiO3;2,04
AgBiO3;2,5
BaSi7N10;4,8
Ba2Si5N8;4,5
BaSiN2;4,1
SrTiN2;3,65
Sr2Si5N8;4,7
SrSiN2;4,2
CaSiN2;4,5
Ca2Si5N8;4,9
LiGe2N3;3,9
SrCN2;4,56
Ca3B2N4;4
MgGeN2;3,2
ZnGeN2;3,6
MgSiN2;4,8
ZnSiN2;5,33
ZnSnN2;1,5
Zn2SbN3;1,55
Mg3SbN;1,3
MgSnN2;1,9
MgZrN2;1,5
ZnGeN2;2,5
MnSiN2;3,5
MnGeN2;2,5
LiSi2N3;4,4
Li7VN4;1,1
Li3GaN2;4,15
Li3AlN2;4,4
LiZnN;1,91
Ba2ZnN2;1,3
CaMg2N2;2,56
Ca2ZnN2;1,9
CaZn2N2;1,9
Li3ScN2;2,9
NaSnN;2,5
LiMgN;3,12
